Name,Nation,Team,Position,Age,Matches Played,Starts,Min,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP_x,PrgR_x,Gls90,Ast90,xG90,xAG90,GA90,Save%,CS%,PK Save%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short Cmp%,Med Cmp%,Long Cmp%,KP,1/3_x,PPA,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_x,Lost_x,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att_y,Succ%,Tkld%,Carries,ProDist,ProgC,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%
Lamare Bogarde,NED,Aston Villa,"DF,MF",N/a,8.0,5.0,476.0,5.3,0.0,0.0,0.0,0.0,0.1,12.0,14.0,9.0,0.0,0.0,0.01,0.02,N/a,N/a,N/a,N/a,100.0,0.19,0.19,0.0,240.0,88.2,3682.0,139.0,116.0,9.0,-0.1,2.0,24.0,1.0,0.0,10.0,1.89,0.19,1.0,14.0,6.0,16.0,5.0,3.0,2.0,1.0,15.0,325.0,16.0,95.0,191.0,40.0,4.0,325.0,2.0,1.0,25.0,173.0,1031.0,599.0,12.0,6.0,1.0,6.0,8.0,8.0,11.0,0.0,0.0,0.0,13.0,6.0,6.0
Leandro Trossard,BEL,Arsenal,FW,N/a,34.0,25.0,2264.0,25.2,8.0,5.0,13.0,6.6,5.1,71.0,91.0,202.0,0.32,0.2,0.26,0.2,N/a,N/a,N/a,N/a,30.3,2.62,0.8,0.12,616.0,73.6,10098.0,382.0,313.0,82.0,-0.1,36.0,40.0,41.0,9.0,78.0,3.1,0.24,6.0,25.0,16.0,31.0,28.0,0.0,28.0,9.0,34.0,1118.0,15.0,117.0,350.0,667.0,137.0,1118.0,29.0,31.0,44.3,710.0,4313.0,1879.0,71.0,47.0,27.0,53.0,42.0,24.0,41.0,5.0,78.0,0.0,90.0,6.0,21.0
Leif Davis,ENG,Ipswich Town,DF,N/a,31.0,30.0,2563.0,28.5,1.0,2.0,3.0,0.9,4.3,48.0,55.0,117.0,0.04,0.07,0.03,0.15,N/a,N/a,N/a,N/a,14.3,0.49,0.07,0.07,854.0,71.5,14708.0,463.0,474.0,201.0,-2.3,54.0,30.0,26.0,11.0,85.0,2.98,0.14,3.0,45.0,26.0,46.0,24.0,8.0,16.0,25.0,70.0,1459.0,115.0,517.0,484.0,477.0,36.0,1459.0,13.0,17.0,45.9,659.0,3571.0,1940.0,48.0,27.0,10.0,36.0,14.0,25.0,30.0,3.0,148.0,0.0,111.0,33.0,22.0
Leny Yoro,FRA,Manchester Utd,DF,N/a,19.0,11.0,1069.0,11.9,0.0,0.0,0.0,0.7,0.0,19.0,48.0,4.0,0.0,0.0,0.06,0.0,N/a,N/a,N/a,N/a,20.0,0.42,0.08,0.0,642.0,92.2,10301.0,308.0,326.0,40.0,0.0,1.0,43.0,4.0,1.0,7.0,0.59,0.0,0.0,25.0,10.0,17.0,5.0,3.0,2.0,17.0,42.0,814.0,80.0,378.0,377.0,61.0,13.0,814.0,1.0,2.0,66.7,553.0,2803.0,1557.0,19.0,11.0,1.0,3.0,2.0,9.0,2.0,1.0,1.0,0.0,41.0,16.0,15.0
Leon Bailey,JAM,Aston Villa,"FW,MF",N/a,23.0,14.0,1138.0,12.6,1.0,2.0,3.0,1.7,1.5,57.0,35.0,121.0,0.08,0.16,0.14,0.12,N/a,N/a,N/a,N/a,21.4,2.21,0.47,0.04,273.0,70.7,4275.0,183.0,122.0,38.0,0.5,16.0,16.0,20.0,2.0,38.0,3.01,0.32,4.0,6.0,4.0,10.0,6.0,0.0,6.0,3.0,9.0,539.0,18.0,76.0,155.0,318.0,69.0,539.0,22.0,24.0,42.1,344.0,2540.0,1334.0,57.0,22.0,33.0,35.0,25.0,12.0,18.0,3.0,34.0,0.0,59.0,6.0,9.0
Lesley Ugochukwu,FRA,Southampton,MF,N/a,23.0,15.0,1447.0,16.1,1.0,1.0,2.0,0.8,1.0,27.0,48.0,20.0,0.06,0.06,0.05,0.06,N/a,N/a,N/a,N/a,11.1,0.56,0.06,0.11,536.0,84.5,8330.0,295.0,260.0,35.0,0.0,14.0,50.0,6.0,1.0,23.0,1.43,0.06,0.0,46.0,22.0,32.0,25.0,9.0,16.0,12.0,58.0,793.0,45.0,191.0,446.0,162.0,23.0,793.0,18.0,7.0,26.9,431.0,2346.0,1122.0,27.0,14.0,6.0,12.0,10.0,26.0,14.0,0.0,6.0,0.0,59.0,18.0,17.0
Levi Colwill,ENG,Chelsea,DF,N/a,31.0,31.0,2789.0,31.0,1.0,1.0,2.0,1.3,1.1,13.0,124.0,11.0,0.03,0.03,0.04,0.04,N/a,N/a,N/a,N/a,18.8,0.52,0.1,0.06,2167.0,89.6,39487.0,809.0,1327.0,227.0,-0.1,14.0,144.0,7.0,3.0,37.0,1.19,0.1,2.0,40.0,28.0,25.0,34.0,24.0,10.0,31.0,71.0,2669.0,330.0,1241.0,1310.0,128.0,35.0,2669.0,6.0,4.0,40.0,1526.0,6959.0,3857.0,13.0,11.0,1.0,13.0,8.0,42.0,18.0,4.0,13.0,0.0,108.0,76.0,51.0
Lewis Cook,ENG,Bournemouth,"MF,DF",N/a,33.0,29.0,2726.0,30.3,1.0,3.0,4.0,0.9,4.1,33.0,152.0,48.0,0.03,0.1,0.03,0.14,N/a,N/a,N/a,N/a,28.6,0.46,0.13,0.07,1131.0,76.5,19703.0,585.0,599.0,229.0,-1.1,47.0,149.0,25.0,10.0,86.0,2.84,0.17,2.0,77.0,41.0,65.0,28.0,10.0,18.0,40.0,117.0,1776.0,82.0,416.0,930.0,449.0,19.0,1776.0,10.0,7.0,41.2,779.0,3896.0,2102.0,33.0,28.0,4.0,29.0,16.0,46.0,10.0,3.0,126.0,0.0,178.0,40.0,34.0
Lewis Dunk,ENG,Brighton,DF,N/a,24.0,22.0,1993.0,22.1,0.0,0.0,0.0,0.8,0.5,20.0,142.0,3.0,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,25.0,0.54,0.14,0.0,1724.0,90.9,32037.0,665.0,979.0,224.0,-0.5,6.0,154.0,6.0,0.0,19.0,0.86,0.14,2.0,17.0,10.0,19.0,26.0,17.0,9.0,12.0,29.0,2062.0,245.0,966.0,994.0,112.0,21.0,2062.0,0.0,1.0,100.0,1302.0,5989.0,3247.0,20.0,18.0,0.0,8.0,3.0,7.0,10.0,2.0,5.0,1.0,102.0,49.0,30.0
Lewis Hall,ENG,Newcastle Utd,DF,N/a,27.0,24.0,2189.0,24.3,0.0,4.0,4.0,0.4,4.3,41.0,123.0,80.0,0.0,0.16,0.02,0.18,N/a,N/a,N/a,N/a,9.1,0.45,0.04,0.0,1300.0,81.7,21999.0,715.0,617.0,202.0,-0.3,34.0,114.0,17.0,5.0,63.0,2.59,0.25,5.0,58.0,41.0,74.0,33.0,18.0,15.0,18.0,76.0,1820.0,95.0,623.0,804.0,414.0,47.0,1820.0,11.0,7.0,33.3,950.0,4398.0,2358.0,41.0,22.0,13.0,33.0,20.0,9.0,21.0,1.0,110.0,0.0,119.0,30.0,31.0
