Name,Nation,Team,Position,Age,Matches Played,Starts,Min,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP_x,PrgR_x,Gls90,Ast90,xG90,xAG90,GA90,Save%,CS%,PK Save%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short Cmp%,Med Cmp%,Long Cmp%,KP,1/3_x,PPA,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_x,Lost_x,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att_y,Succ%,Tkld%,Carries,ProDist,ProgC,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%
Djed Spence,ENG,Tottenham,DF,N/a,21.0,16.0,1514.0,16.8,1.0,2.0,3.0,0.6,1.7,53.0,98.0,68.0,0.06,0.12,0.03,0.1,N/a,N/a,N/a,N/a,30.0,0.59,0.18,0.1,875.0,86.0,12585.0,549.0,348.0,57.0,0.3,10.0,73.0,17.0,7.0,26.0,1.55,0.3,3.0,39.0,30.0,25.0,22.0,9.0,13.0,17.0,56.0,1234.0,67.0,415.0,562.0,277.0,24.0,1234.0,34.0,28.0,40.6,709.0,4278.0,2295.0,53.0,40.0,7.0,25.0,27.0,19.0,23.0,2.0,23.0,1.0,91.0,17.0,12.0
Dominic Calvert-Lewin,ENG,Everton,FW,N/a,22.0,19.0,1574.0,17.5,3.0,1.0,4.0,6.1,0.6,22.0,19.0,105.0,0.17,0.06,0.35,0.04,N/a,N/a,N/a,N/a,37.0,2.63,0.97,0.07,174.0,62.6,2035.0,180.0,60.0,8.0,0.4,7.0,19.0,5.0,1.0,25.0,1.43,0.23,1.0,9.0,7.0,6.0,6.0,2.0,4.0,6.0,15.0,491.0,21.0,38.0,204.0,254.0,82.0,491.0,10.0,13.0,52.0,268.0,1398.0,444.0,22.0,8.0,16.0,71.0,32.0,27.0,22.0,27.0,6.0,0.0,32.0,83.0,79.0
Dominic Solanke,ENG,Tottenham,FW,N/a,25.0,24.0,2119.0,23.5,8.0,3.0,11.0,10.1,2.9,29.0,45.0,88.0,0.34,0.13,0.43,0.13,N/a,N/a,N/a,N/a,40.7,2.51,1.02,0.14,250.0,71.0,3344.0,201.0,83.0,18.0,0.1,14.0,27.0,9.0,0.0,37.0,1.57,0.34,6.0,18.0,11.0,14.0,18.0,7.0,11.0,0.0,18.0,636.0,31.0,68.0,290.0,284.0,111.0,636.0,16.0,31.0,62.0,374.0,2024.0,803.0,29.0,21.0,14.0,67.0,47.0,36.0,36.0,5.0,4.0,1.0,37.0,44.0,59.0
Dominik Szoboszlai,HUN,Liverpool,MF,N/a,32.0,26.0,2257.0,25.1,5.0,5.0,10.0,7.1,6.2,65.0,114.0,120.0,0.2,0.2,0.28,0.25,N/a,N/a,N/a,N/a,32.3,2.47,0.8,0.08,1015.0,84.5,15678.0,623.0,371.0,114.0,-1.2,51.0,78.0,31.0,5.0,108.0,4.31,0.56,11.0,31.0,20.0,39.0,35.0,4.0,31.0,9.0,40.0,1435.0,23.0,183.0,696.0,574.0,96.0,1435.0,19.0,13.0,37.1,732.0,3740.0,2101.0,65.0,46.0,17.0,34.0,21.0,37.0,23.0,4.0,34.0,0.0,120.0,18.0,22.0
Donyell Malen,NED,Aston Villa,FW,N/a,11.0,2.0,273.0,3.0,3.0,0.0,3.0,1.7,0.1,9.0,5.0,23.0,0.99,0.0,0.55,0.02,N/a,N/a,N/a,N/a,66.7,3.96,2.64,0.25,45.0,70.3,580.0,35.0,16.0,4.0,-0.1,2.0,2.0,1.0,0.0,4.0,1.31,0.0,0.0,7.0,4.0,4.0,1.0,0.0,1.0,0.0,7.0,110.0,2.0,7.0,29.0,80.0,18.0,110.0,3.0,5.0,50.0,63.0,478.0,251.0,9.0,5.0,5.0,8.0,6.0,1.0,4.0,2.0,7.0,0.0,8.0,3.0,4.0
Dwight McNeil,ENG,Everton,"MF,FW",N/a,17.0,13.0,1185.0,13.2,3.0,4.0,7.0,1.1,3.8,32.0,61.0,68.0,0.23,0.3,0.08,0.29,N/a,N/a,N/a,N/a,37.5,1.82,0.68,0.13,390.0,73.0,7325.0,210.0,169.0,121.0,0.2,33.0,35.0,33.0,10.0,62.0,4.71,0.53,4.0,11.0,6.0,19.0,7.0,0.0,7.0,5.0,16.0,645.0,3.0,65.0,280.0,315.0,22.0,645.0,21.0,16.0,42.1,374.0,2338.0,970.0,32.0,29.0,4.0,22.0,28.0,6.0,14.0,1.0,92.0,0.0,65.0,3.0,14.0
Eberechi Eze,ENG,Crystal Palace,"MF,FW",N/a,30.0,28.0,2337.0,26.0,4.0,8.0,12.0,8.2,5.2,65.0,85.0,141.0,0.15,0.31,0.31,0.2,N/a,N/a,N/a,N/a,25.8,3.58,0.92,0.04,707.0,74.6,11848.0,409.0,331.0,148.0,2.8,53.0,46.0,32.0,3.0,119.0,4.58,0.35,8.0,37.0,22.0,35.0,26.0,0.0,26.0,11.0,48.0,1289.0,15.0,172.0,611.0,537.0,86.0,1288.0,61.0,57.0,45.6,771.0,4647.0,2178.0,65.0,43.0,21.0,52.0,44.0,11.0,46.0,9.0,100.0,0.0,128.0,6.0,36.0
Eddie Nketiah,ENG,Crystal Palace,"FW,MF",N/a,25.0,8.0,880.0,9.8,1.0,1.0,2.0,4.3,1.5,37.0,17.0,65.0,0.1,0.1,0.44,0.15,N/a,N/a,N/a,N/a,33.3,3.68,1.23,0.03,165.0,75.0,2479.0,112.0,66.0,17.0,-0.5,11.0,11.0,4.0,0.0,26.0,2.66,0.2,1.0,12.0,5.0,11.0,10.0,1.0,9.0,2.0,14.0,360.0,10.0,39.0,150.0,178.0,59.0,360.0,10.0,6.0,31.6,211.0,1536.0,807.0,37.0,22.0,13.0,30.0,15.0,25.0,23.0,3.0,5.0,0.0,21.0,18.0,31.0
Ederson,BRA,Manchester City,GK,N/a,22.0,22.0,1960.0,21.8,0.0,4.0,4.0,0.0,1.5,0.0,1.0,0.0,0.0,0.18,0.0,0.07,1.15,68.5,3.0,2.0,N/a,0.0,0.0,N/a,693.0,88.1,17056.0,123.0,410.0,251.0,2.5,4.0,20.0,1.0,0.0,6.0,0.28,0.18,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,833.0,587.0,824.0,9.0,0.0,0.0,833.0,0.0,0.0,N/a,563.0,2612.0,1671.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,4.0,1.0
Edmond-Paris Maghoma,ENG,Brentford,"MF,FW",N/a,8.0,0.0,119.0,1.3,0.0,0.0,0.0,0.1,0.1,4.0,13.0,4.0,0.0,0.0,0.09,0.08,N/a,N/a,N/a,N/a,0.0,0.76,0.0,0.0,76.0,90.5,1259.0,40.0,31.0,7.0,-0.1,1.0,2.0,0.0,0.0,4.0,3.03,0.76,1.0,2.0,1.0,3.0,2.0,2.0,0.0,1.0,3.0,101.0,2.0,18.0,58.0,27.0,4.0,101.0,3.0,1.0,25.0,68.0,414.0,221.0,4.0,3.0,1.0,2.0,0.0,2.0,4.0,0.0,3.0,0.0,7.0,1.0,3.0
Edson Álvarez,MEX,West Ham,MF,N/a,25.0,19.0,1633.0,18.1,0.0,1.0,1.0,0.3,0.8,21.0,75.0,18.0,0.0,0.06,0.02,0.04,N/a,N/a,N/a,N/a,9.1,0.61,0.06,0.0,763.0,85.7,12894.0,419.0,359.0,83.0,0.2,11.0,80.0,11.0,3.0,25.0,1.38,0.11,2.0,44.0,23.0,33.0,21.0,8.0,13.0,16.0,60.0,1101.0,61.0,323.0,612.0,174.0,12.0,1101.0,14.0,12.0,38.7,603.0,3371.0,1528.0,21.0,20.0,2.0,25.0,13.0,37.0,18.0,4.0,6.0,0.0,78.0,28.0,20.0
Elliot Anderson,ENG,Nott'ham Forest,MF,N/a,32.0,28.0,2317.0,25.7,2.0,6.0,8.0,1.7,3.1,37.0,115.0,78.0,0.08,0.23,0.06,0.12,N/a,N/a,N/a,N/a,17.6,1.32,0.23,0.06,863.0,77.8,13736.0,513.0,391.0,132.0,2.9,34.0,90.0,17.0,2.0,75.0,2.91,0.39,4.0,78.0,50.0,93.0,41.0,8.0,33.0,26.0,104.0,1480.0,88.0,354.0,694.0,460.0,55.0,1480.0,34.0,26.0,38.2,740.0,4068.0,1868.0,37.0,27.0,15.0,52.0,36.0,37.0,54.0,4.0,70.0,0.0,177.0,42.0,21.0
Emerson Palmieri,ITA,West Ham,DF,N/a,29.0,25.0,2015.0,22.4,2.0,1.0,3.0,2.0,1.5,44.0,64.0,82.0,0.09,0.04,0.09,0.07,N/a,N/a,N/a,N/a,43.8,0.71,0.31,0.13,827.0,79.9,12096.0,549.0,335.0,99.0,-0.5,16.0,49.0,13.0,5.0,41.0,1.83,0.09,1.0,57.0,29.0,44.0,32.0,8.0,24.0,20.0,77.0,1277.0,82.0,412.0,532.0,348.0,27.0,1277.0,10.0,17.0,56.7,533.0,2921.0,1666.0,44.0,25.0,8.0,24.0,7.0,24.0,13.0,0.0,63.0,0.0,84.0,16.0,18.0
Emi Buendía,ARG,Aston Villa,"MF,FW",N/a,12.0,0.0,98.0,1.1,0.0,0.0,0.0,0.7,0.0,3.0,7.0,6.0,0.0,0.0,0.6,0.02,N/a,N/a,N/a,N/a,0.0,4.59,0.0,0.0,49.0,81.7,624.0,36.0,14.0,5.0,0.0,1.0,4.0,1.0,0.0,3.0,2.76,0.0,0.0,6.0,6.0,5.0,5.0,1.0,4.0,0.0,6.0,82.0,0.0,17.0,35.0,31.0,3.0,82.0,0.0,2.0,100.0,53.0,185.0,119.0,3.0,5.0,0.0,4.0,3.0,4.0,6.0,0.0,0.0,0.0,8.0,0.0,2.0
Emil Krafth,SWE,Newcastle Utd,DF,N/a,9.0,2.0,288.0,3.2,0.0,0.0,0.0,0.0,0.1,3.0,7.0,1.0,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,0.0,0.31,0.0,0.0,104.0,80.0,1661.0,60.0,53.0,10.0,-0.1,1.0,6.0,0.0,0.0,3.0,0.94,0.0,0.0,4.0,2.0,3.0,5.0,4.0,1.0,2.0,6.0,164.0,30.0,87.0,59.0,19.0,4.0,164.0,0.0,1.0,100.0,72.0,327.0,133.0,3.0,3.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,17.0,5.0,5.0
Emile Smith Rowe,ENG,Fulham,MF,N/a,30.0,23.0,1852.0,20.6,6.0,2.0,8.0,4.4,1.1,50.0,120.0,113.0,0.29,0.1,0.21,0.05,N/a,N/a,N/a,N/a,29.4,1.65,0.49,0.18,834.0,90.0,11939.0,527.0,323.0,26.0,0.9,18.0,74.0,15.0,1.0,65.0,3.16,0.53,9.0,30.0,17.0,24.0,20.0,2.0,18.0,11.0,41.0,1112.0,20.0,153.0,525.0,444.0,55.0,1112.0,16.0,15.0,45.5,721.0,3498.0,1832.0,50.0,38.0,11.0,32.0,13.0,17.0,12.0,4.0,13.0,0.0,69.0,6.0,17.0
Emiliano Martínez,ARG,Aston Villa,GK,N/a,33.0,33.0,2880.0,32.0,0.0,0.0,0.0,0.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.02,1.41,65.9,9.0,2.0,N/a,0.0,0.0,N/a,986.0,79.0,25707.0,178.0,584.0,479.0,-0.5,2.0,21.0,0.0,0.0,6.0,0.19,0.03,1.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,3.0,1307.0,990.0,1292.0,15.0,0.0,0.0,1307.0,1.0,0.0,0.0,794.0,4063.0,2586.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,28.0,8.0,1.0
Emmanuel Agbadou,CIV,Wolves,DF,N/a,12.0,12.0,1050.0,11.7,0.0,0.0,0.0,0.3,0.2,3.0,21.0,1.0,0.0,0.0,0.02,0.02,N/a,N/a,N/a,N/a,16.7,0.51,0.09,0.0,597.0,84.4,12223.0,205.0,351.0,135.0,-0.2,4.0,23.0,1.0,0.0,15.0,1.29,0.17,2.0,25.0,17.0,17.0,15.0,11.0,4.0,9.0,34.0,844.0,137.0,473.0,355.0,22.0,5.0,844.0,7.0,2.0,20.0,508.0,2418.0,1085.0,3.0,3.0,0.0,3.0,3.0,5.0,4.0,1.0,1.0,0.0,63.0,22.0,15.0
Enes Ünal,TUR,Bournemouth,"FW,MF",N/a,17.0,2.0,345.0,3.8,2.0,1.0,3.0,2.7,0.4,4.0,12.0,22.0,0.52,0.26,0.72,0.1,N/a,N/a,N/a,N/a,35.0,5.22,1.83,0.1,63.0,63.6,685.0,52.0,28.0,1.0,0.6,4.0,4.0,4.0,0.0,9.0,2.35,0.78,2.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,172.0,6.0,14.0,63.0,95.0,26.0,172.0,1.0,10.0,83.3,91.0,261.0,95.0,4.0,3.0,1.0,17.0,13.0,6.0,9.0,1.0,4.0,0.0,16.0,24.0,22.0
Enzo Fernández,ARG,Chelsea,MF,N/a,32.0,28.0,2590.0,28.8,5.0,7.0,12.0,5.4,6.3,57.0,196.0,115.0,0.17,0.24,0.19,0.22,N/a,N/a,N/a,N/a,36.7,1.7,0.63,0.1,1397.0,80.0,24772.0,723.0,674.0,257.0,0.7,71.0,155.0,39.0,7.0,137.0,4.76,0.56,13.0,61.0,30.0,78.0,32.0,5.0,27.0,11.0,72.0,2021.0,32.0,309.0,1027.0,698.0,73.0,2021.0,21.0,18.0,39.1,1115.0,5173.0,2529.0,57.0,53.0,8.0,27.0,27.0,45.0,47.0,1.0,103.0,0.0,141.0,13.0,27.0
Erling Haaland,NOR,Manchester City,FW,N/a,28.0,28.0,2480.0,27.6,21.0,3.0,24.0,20.8,2.8,19.0,18.0,103.0,0.76,0.11,0.76,0.1,N/a,N/a,N/a,N/a,54.5,3.59,1.96,0.19,225.0,66.0,2706.0,221.0,75.0,6.0,0.2,26.0,9.0,7.0,1.0,62.0,2.25,0.33,6.0,9.0,5.0,6.0,11.0,1.0,10.0,5.0,14.0,578.0,22.0,39.0,200.0,344.0,170.0,575.0,11.0,19.0,59.4,272.0,1310.0,478.0,19.0,14.0,19.0,39.0,25.0,22.0,12.0,4.0,3.0,0.0,29.0,49.0,45.0
Ethan Nwaneri,ENG,Arsenal,"FW,MF",N/a,24.0,10.0,816.0,9.1,4.0,2.0,6.0,1.1,1.0,44.0,30.0,101.0,0.44,0.22,0.12,0.11,N/a,N/a,N/a,N/a,36.4,2.43,0.88,0.18,304.0,80.2,4385.0,208.0,107.0,35.0,1.0,12.0,16.0,13.0,6.0,22.0,2.42,0.33,3.0,11.0,7.0,18.0,8.0,2.0,6.0,2.0,13.0,491.0,3.0,43.0,159.0,294.0,39.0,491.0,32.0,17.0,30.9,330.0,2624.0,1233.0,44.0,21.0,16.0,20.0,17.0,7.0,5.0,6.0,51.0,0.0,33.0,3.0,7.0
Ethan Pinnock,JAM,Brentford,DF,N/a,22.0,21.0,1913.0,21.3,2.0,0.0,2.0,1.1,1.2,3.0,41.0,9.0,0.09,0.0,0.05,0.05,N/a,N/a,N/a,N/a,60.0,0.47,0.28,0.2,924.0,85.6,17045.0,382.0,528.0,145.0,-1.2,8.0,48.0,4.0,1.0,21.0,0.99,0.0,0.0,35.0,19.0,24.0,29.0,18.0,11.0,24.0,59.0,1348.0,294.0,783.0,457.0,109.0,24.0,1348.0,3.0,6.0,66.7,633.0,3117.0,1633.0,3.0,4.0,0.0,2.0,4.0,8.0,4.0,0.0,9.0,1.0,50.0,63.0,43.0
Evan Ferguson,IRL,West Ham,FW,N/a,7.0,1.0,145.0,1.6,0.0,0.0,0.0,0.6,0.3,1.0,0.0,6.0,0.0,0.0,0.35,0.19,N/a,N/a,N/a,N/a,20.0,3.1,0.62,0.0,26.0,78.8,317.0,24.0,7.0,1.0,-0.3,2.0,0.0,0.0,0.0,4.0,2.48,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,62.0,1.0,6.0,27.0,29.0,10.0,62.0,3.0,2.0,40.0,31.0,123.0,41.0,1.0,1.0,1.0,8.0,5.0,1.0,2.0,0.0,0.0,0.0,8.0,5.0,8.0
Evan Ferguson,IRL,Brighton,FW,N/a,13.0,2.0,246.0,2.7,1.0,0.0,1.0,0.5,0.4,2.0,1.0,9.0,0.37,0.0,0.2,0.15,N/a,N/a,N/a,N/a,28.6,2.56,0.73,0.14,43.0,74.1,484.0,36.0,11.0,4.0,-0.4,3.0,1.0,0.0,0.0,4.0,1.47,0.0,0.0,4.0,3.0,5.0,3.0,1.0,2.0,0.0,4.0,88.0,7.0,13.0,50.0,26.0,9.0,88.0,1.0,1.0,50.0,42.0,183.0,56.0,2.0,1.0,2.0,5.0,6.0,3.0,1.0,0.0,0.0,0.0,10.0,4.0,9.0
Evanilson,BRA,Bournemouth,FW,N/a,27.0,24.0,1972.0,21.9,9.0,1.0,10.0,11.0,1.6,26.0,19.0,87.0,0.41,0.05,0.5,0.07,N/a,N/a,N/a,N/a,45.2,2.83,1.28,0.15,201.0,69.1,2409.0,173.0,58.0,14.0,-0.6,23.0,14.0,2.0,0.0,56.0,2.56,0.37,2.0,14.0,9.0,10.0,10.0,2.0,8.0,0.0,14.0,479.0,22.0,49.0,183.0,250.0,113.0,478.0,6.0,7.0,36.8,279.0,1515.0,734.0,26.0,15.0,14.0,31.0,22.0,31.0,43.0,17.0,0.0,0.0,56.0,38.0,56.0
Ezri Konsa,ENG,Aston Villa,DF,N/a,30.0,29.0,2576.0,28.6,1.0,0.0,1.0,0.9,0.4,16.0,73.0,11.0,0.03,0.0,0.03,0.01,N/a,N/a,N/a,N/a,33.3,0.31,0.1,0.11,1372.0,92.7,22993.0,621.0,739.0,80.0,-0.4,5.0,93.0,1.0,0.0,23.0,0.8,0.1,3.0,32.0,17.0,22.0,17.0,9.0,8.0,21.0,53.0,1693.0,213.0,795.0,807.0,99.0,20.0,1693.0,7.0,7.0,41.2,986.0,4914.0,2465.0,16.0,11.0,2.0,16.0,9.0,6.0,42.0,0.0,5.0,0.0,86.0,27.0,21.0
Fabian Schär,SUI,Newcastle Utd,DF,N/a,30.0,29.0,2575.0,28.6,4.0,0.0,4.0,2.1,0.4,14.0,95.0,17.0,0.14,0.0,0.07,0.01,N/a,N/a,N/a,N/a,34.5,1.01,0.35,0.14,1458.0,83.6,29169.0,548.0,834.0,329.0,-0.4,5.0,139.0,10.0,0.0,27.0,0.94,0.1,2.0,32.0,19.0,34.0,36.0,24.0,12.0,40.0,72.0,2034.0,237.0,1061.0,857.0,127.0,31.0,2034.0,8.0,2.0,16.7,1284.0,5803.0,3313.0,14.0,23.0,2.0,11.0,6.0,31.0,12.0,4.0,9.0,0.0,123.0,40.0,61.0
Fabio Carvalho,POR,Brentford,"FW,MF",N/a,19.0,3.0,455.0,5.1,2.0,1.0,3.0,2.5,0.7,9.0,17.0,23.0,0.4,0.2,0.49,0.13,N/a,N/a,N/a,N/a,41.7,2.37,0.99,0.17,126.0,70.8,1755.0,94.0,45.0,18.0,0.3,4.0,11.0,5.0,1.0,10.0,1.97,0.2,1.0,13.0,9.0,13.0,6.0,1.0,5.0,3.0,16.0,247.0,4.0,44.0,91.0,113.0,22.0,247.0,2.0,10.0,71.4,137.0,698.0,356.0,9.0,3.0,0.0,13.0,8.0,5.0,10.0,1.0,10.0,0.0,30.0,2.0,6.0
Facundo Buonanotte,ARG,Leicester City,"FW,MF",N/a,29.0,14.0,1474.0,16.4,4.0,2.0,6.0,3.8,3.1,38.0,52.0,69.0,0.24,0.12,0.23,0.19,N/a,N/a,N/a,N/a,29.4,2.08,0.61,0.12,430.0,76.6,6782.0,273.0,177.0,72.0,-1.1,24.0,40.0,13.0,2.0,50.0,3.05,0.24,1.0,53.0,32.0,67.0,32.0,6.0,26.0,11.0,64.0,850.0,26.0,127.0,436.0,300.0,36.0,850.0,26.0,49.0,62.0,465.0,2928.0,1321.0,38.0,26.0,8.0,53.0,39.0,35.0,33.0,3.0,41.0,0.0,77.0,17.0,35.0
Ferdi Kadioglu,TUR,Brighton,"DF,MF",N/a,6.0,5.0,385.0,4.3,1.0,0.0,1.0,0.4,0.2,1.0,15.0,27.0,0.23,0.0,0.1,0.04,N/a,N/a,N/a,N/a,25.0,0.94,0.23,0.25,144.0,82.3,2372.0,82.0,74.0,14.0,-0.2,5.0,10.0,9.0,4.0,13.0,3.03,0.47,2.0,10.0,6.0,15.0,2.0,2.0,0.0,8.0,18.0,231.0,13.0,71.0,91.0,72.0,9.0,231.0,3.0,3.0,42.9,124.0,479.0,183.0,1.0,0.0,0.0,6.0,2.0,5.0,3.0,1.0,9.0,0.0,14.0,3.0,1.0
Filip Jørgensen,DEN,Chelsea,GK,N/a,6.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,71.4,0.0,1.0,N/a,0.0,0.0,N/a,158.0,83.6,2843.0,64.0,81.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,174.0,201.0,1.0,0.0,0.0,202.0,0.0,0.0,N/a,145.0,676.0,423.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0
Flynn Downes,ENG,Southampton,MF,N/a,23.0,21.0,1791.0,19.9,1.0,0.0,1.0,0.6,1.1,24.0,59.0,28.0,0.05,0.0,0.03,0.05,N/a,N/a,N/a,N/a,30.0,0.5,0.15,0.1,851.0,89.8,12498.0,525.0,330.0,46.0,-1.1,15.0,52.0,11.0,0.0,30.0,1.51,0.1,1.0,43.0,23.0,32.0,22.0,6.0,16.0,30.0,73.0,1136.0,76.0,343.0,605.0,197.0,20.0,1136.0,5.0,7.0,50.0,540.0,2961.0,1551.0,24.0,21.0,4.0,12.0,17.0,45.0,33.0,0.0,3.0,0.0,73.0,13.0,13.0
Fraser Forster,ENG,Tottenham,GK,N/a,7.0,7.0,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,69.0,2.0,2.0,N/a,0.0,0.0,N/a,168.0,84.8,3349.0,55.0,90.0,47.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,228.0,212.0,228.0,0.0,0.0,0.0,228.0,1.0,0.0,0.0,113.0,501.0,264.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Gabriel Jesus,BRA,Arsenal,FW,N/a,17.0,6.0,608.0,6.8,3.0,0.0,3.0,3.0,0.7,15.0,19.0,57.0,0.44,0.0,0.44,0.1,N/a,N/a,N/a,N/a,35.0,2.96,1.04,0.15,156.0,76.8,2030.0,128.0,47.0,6.0,-0.7,8.0,10.0,9.0,1.0,18.0,2.66,0.59,1.0,10.0,6.0,9.0,10.0,1.0,9.0,4.0,14.0,299.0,9.0,28.0,108.0,165.0,48.0,299.0,9.0,10.0,45.5,179.0,953.0,432.0,15.0,6.0,11.0,13.0,13.0,14.0,10.0,9.0,7.0,0.0,28.0,9.0,18.0
Gabriel Magalhães,BRA,Arsenal,DF,N/a,28.0,28.0,2363.0,26.3,3.0,1.0,4.0,2.6,0.9,10.0,126.0,11.0,0.11,0.04,0.1,0.03,N/a,N/a,N/a,N/a,22.7,0.84,0.19,0.14,1480.0,90.2,25788.0,617.0,830.0,154.0,0.1,13.0,145.0,8.0,0.0,35.0,1.33,0.23,4.0,25.0,15.0,16.0,42.0,29.0,13.0,16.0,41.0,1873.0,189.0,672.0,985.0,225.0,40.0,1873.0,4.0,1.0,20.0,1116.0,4470.0,2669.0,10.0,22.0,0.0,9.0,2.0,19.0,19.0,0.0,9.0,0.0,63.0,53.0,37.0
Gabriel Martinelli,BRA,Arsenal,"FW,MF",N/a,29.0,21.0,1956.0,21.7,7.0,4.0,11.0,5.9,4.5,106.0,44.0,259.0,0.32,0.18,0.27,0.21,N/a,N/a,N/a,N/a,42.2,2.07,0.87,0.16,429.0,71.0,6240.0,332.0,172.0,47.0,-0.5,34.0,10.0,30.0,13.0,61.0,2.81,0.28,3.0,19.0,14.0,22.0,10.0,0.0,10.0,4.0,23.0,860.0,15.0,83.0,218.0,571.0,162.0,860.0,30.0,57.0,55.3,576.0,4267.0,2268.0,106.0,29.0,55.0,48.0,33.0,14.0,19.0,8.0,80.0,0.0,70.0,14.0,29.0
George Hirst,SCO,Ipswich Town,FW,N/a,22.0,3.0,470.0,5.2,2.0,1.0,3.0,1.3,0.3,9.0,12.0,27.0,0.38,0.19,0.25,0.05,N/a,N/a,N/a,N/a,44.4,1.72,0.77,0.22,55.0,55.0,644.0,57.0,23.0,2.0,0.7,3.0,1.0,4.0,0.0,7.0,1.33,0.57,2.0,3.0,3.0,3.0,1.0,1.0,0.0,2.0,5.0,156.0,10.0,22.0,54.0,82.0,21.0,156.0,2.0,2.0,40.0,88.0,465.0,198.0,9.0,2.0,6.0,21.0,13.0,11.0,9.0,2.0,3.0,0.0,8.0,30.0,19.0
Georginio Rutter,FRA,Brighton,"MF,FW",N/a,28.0,19.0,1656.0,18.4,5.0,3.0,8.0,4.6,2.5,42.0,67.0,79.0,0.27,0.16,0.25,0.14,N/a,N/a,N/a,N/a,24.0,2.72,0.65,0.1,237.0,66.8,3344.0,187.0,111.0,16.0,0.5,19.0,30.0,16.0,1.0,64.0,3.47,0.43,3.0,39.0,15.0,36.0,20.0,3.0,17.0,10.0,49.0,641.0,20.0,83.0,246.0,326.0,79.0,641.0,27.0,34.0,47.9,361.0,2467.0,1405.0,42.0,36.0,16.0,45.0,37.0,34.0,45.0,7.0,9.0,0.0,66.0,25.0,46.0
Gonçalo Guedes,POR,Wolves,"MF,FW",N/a,25.0,7.0,772.0,8.6,2.0,4.0,6.0,2.2,1.1,32.0,30.0,58.0,0.23,0.47,0.26,0.13,N/a,N/a,N/a,N/a,36.8,2.22,0.82,0.11,186.0,72.7,3117.0,113.0,96.0,29.0,2.9,11.0,13.0,16.0,5.0,23.0,2.68,0.93,7.0,14.0,4.0,15.0,9.0,0.0,9.0,5.0,19.0,367.0,4.0,42.0,161.0,177.0,28.0,367.0,5.0,11.0,55.0,224.0,1714.0,896.0,32.0,20.0,5.0,33.0,14.0,14.0,15.0,3.0,16.0,0.0,34.0,3.0,11.0
Guglielmo Vicario,ITA,Tottenham,GK,N/a,22.0,22.0,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.45,65.2,2.0,0.0,N/a,0.0,0.0,N/a,709.0,88.8,13716.0,228.0,410.0,151.0,0.0,0.0,1.0,0.0,0.0,4.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,848.0,568.0,830.0,18.0,0.0,0.0,848.0,1.0,0.0,0.0,606.0,2833.0,1594.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,9.0,0.0
Guido Rodríguez,ARG,West Ham,MF,N/a,20.0,14.0,1018.0,11.3,0.0,0.0,0.0,0.2,0.1,2.0,31.0,5.0,0.0,0.0,0.02,0.01,N/a,N/a,N/a,N/a,12.5,0.71,0.09,0.0,419.0,84.1,7149.0,230.0,197.0,51.0,-0.1,3.0,36.0,1.0,0.0,10.0,0.88,0.0,0.0,30.0,16.0,30.0,21.0,9.0,12.0,12.0,42.0,617.0,42.0,196.0,366.0,56.0,2.0,617.0,2.0,0.0,0.0,284.0,988.0,392.0,2.0,5.0,0.0,2.0,6.0,15.0,11.0,1.0,4.0,0.0,46.0,8.0,7.0
